,Period,RegionCode,Region,GeographicClassification,CensusLevel,IndustryCode,Industry,BusinessLocations,Subsidy,SupportedEmployees,RehiredEmployees
236414,2020-06-07,24,Quebec,Not applicable,Not applicable,TOTAL,All Industries,66540.0,2044084000.0,897934.0,7900.0
256781,2020-06-07,35,Ontario,Not applicable,Not applicable,TOTAL,All Industries,109055.0,3406655000.0,1478984.0,14355.0
272113,2020-06-07,46,Manitoba,Not applicable,Not applicable,TOTAL,All Industries,7205.0,215737000.0,99070.0,885.0
274541,2020-06-07,47,Saskatchewan,Not applicable,Not applicable,TOTAL,All Industries,7510.0,172679000.0,77278.0,925.0
278693,2020-06-07,48,Alberta,Not applicable,Not applicable,TOTAL,All Industries,38190.0,1350094000.0,605493.0,4420.0
285439,2020-06-07,59,British Columbia,Not applicable,Not applicable,TOTAL,All Industries,43885.0,1035503000.0,466529.0,5785.0
295676,2020-06-07,60,Yukon,Not applicable,Not applicable,TOTAL,All Industries,345.0,7162000.0,3383.0,35.0
296085,2020-06-07,61,Northwest Territories,Not applicable,Not applicable,TOTAL,All Industries,290.0,11624000.0,4157.0,25.0
296464,2020-06-07,62,Nunavut,Not applicable,Not applicable,TOTAL,All Industries,95.0,4798000.0,1792.0,10.0
297099,2020-07-05,10,Newfoundland and Labrador,Not applicable,Not applicable,TOTAL,All Industries,3930.0,82081000.0,47386.0,310.0
299969,2020-07-05,11,Prince Edward Island,Not applicable,Not applicable,TOTAL,All Industries,1510.0,28203000.0,18380.0,115.0
301450,2020-07-05,12,Nova Scotia,Not applicable,Not applicable,TOTAL,All Industries,7025.0,141772000.0,90859.0,520.0
304302,2020-07-05,13,New Brunswick,Not applicable,Not applicable,TOTAL,All Industries,5770.0,117424000.0,73979.0,340.0
308334,2020-07-05,24,Quebec,Not applicable,Not applicable,TOTAL,All Industries,66385.0,1682993000.0,1043541.0,5135.0
328627,2020-07-05,35,Ontario,Not applicable,Not applicable,TOTAL,All Industries,108330.0,2919833000.0,1678079.0,10695.0
344115,2020-07-05,46,Manitoba,Not applicable,Not applicable,TOTAL,All Industries,7195.0,183466000.0,118531.0,575.0
346544,2020-07-05,47,Saskatchewan,Not applicable,Not applicable,TOTAL,All Industries,7505.0,153697000.0,91450.0,620.0
350667,2020-07-05,48,Alberta,Not applicable,Not applicable,TOTAL,All Industries,37705.0,1224470000.0,610287.0,3365.0
357288,2020-07-05,59,British Columbia,Not applicable,Not applicable,TOTAL,All Industries,42850.0,938129000.0,539419.0,4135.0
367391,2020-07-05,60,Yukon,Not applicable,Not applicable,TOTAL,All Industries,360.0,7224000.0,3930.0,25.0
367816,2020-07-05,61,Northwest Territories,Not applicable,Not applicable,TOTAL,All Industries,270.0,11963000.0,4513.0,20.0
368176,2020-07-05,62,Nunavut,Not applicable,Not applicable,TOTAL,All Industries,110.0,3847000.0,2431.0,0.0
368828,2020-08-02,10,Newfoundland and Labrador,Not applicable,Not applicable,TOTAL,All Industries,3735.0,74042000.0,46923.0,210.0
371582,2020-08-02,11,Prince Edward Island,Not applicable,Not applicable,TOTAL,All Industries,1395.0,27119000.0,17798.0,95.0
372990,2020-08-02,12,Nova Scotia,Not applicable,Not applicable,TOTAL,All Industries,6410.0,123999000.0,86349.0,410.0
375773,2020-08-02,13,New Brunswick,Not applicable,Not applicable,TOTAL,All Industries,5240.0,107285000.0,71678.0,295.0
379612,2020-08-02,24,Quebec,Not applicable,Not applicable,TOTAL,All Industries,62360.0,1572630000.0,996332.0,3975.0
399333,2020-08-02,35,Ontario,Not applicable,Not applicable,TOTAL,All Industries,102575.0,2568441000.0,1617779.0,8235.0
414344,2020-08-02,46,Manitoba,Not applicable,Not applicable,TOTAL,All Industries,6895.0,156403000.0,110748.0,420.0
416708,2020-08-02,47,Saskatchewan,Not applicable,Not applicable,TOTAL,All Industries,7165.0,138749000.0,89138.0,445.0
420700,2020-08-02,48,Alberta,Not applicable,Not applicable,TOTAL,All Industries,36060.0,1094700000.0,590750.0,2455.0
427172,2020-08-02,59,British Columbia,Not applicable,Not applicable,TOTAL,All Industries,40015.0,840389000.0,525213.0,2935.0
436889,2020-08-02,60,Yukon,Not applicable,Not applicable,TOTAL,All Industries,340.0,6529000.0,3685.0,20.0
437307,2020-08-02,61,Northwest Territories,Not applicable,Not applicable,TOTAL,All Industries,255.0,10450000.0,4299.0,15.0
437670,2020-08-02,62,Nunavut,Not applicable,Not applicable,TOTAL,All Industries,110.0,3958000.0,2475.0,0.0
438328,2020-08-30,10,Newfoundland and Labrador,Not applicable,Not applicable,TOTAL,All Industries,3355.0,42843000.0,42068.0,210.0
440996,2020-08-30,11,Prince Edward Island,Not applicable,Not applicable,TOTAL,All Industries,1215.0,14438000.0,15893.0,75.0
442299,2020-08-30,12,Nova Scotia,Not applicable,Not applicable,TOTAL,All Industries,5660.0,70587000.0,78025.0,375.0
444897,2020-08-30,13,New Brunswick,Not applicable,Not applicable,TOTAL,All Industries,4585.0,58190000.0,63296.0,225.0
448567,2020-08-30,24,Quebec,Not applicable,Not applicable,TOTAL,All Industries,53605.0,849636000.0,870941.0,3240.0
466622,2020-08-30,35,Ontario,Not applicable,Not applicable,TOTAL,All Industries,91625.0,1489186000.0,1505447.0,6700.0
481036,2020-08-30,46,Manitoba,Not applicable,Not applicable,TOTAL,All Industries,6110.0,84995000.0,96936.0,350.0
483250,2020-08-30,47,Saskatchewan,Not applicable,Not applicable,TOTAL,All Industries,6315.0,77701000.0,79314.0,395.0
486939,2020-08-30,48,Alberta,Not applicable,Not applicable,TOTAL,All Industries,32380.0,680890000.0,552462.0,2140.0
